Name,Country,Time,Place,Year
Spyridon LOUIS,GRE,02:58:50.000,1,1896
Kharilaos VASILAKOS,GRE,03:06:03.000,2,1896
Gyula KELLNER,HUN,03:06:35.000,3,1896
Michel THEATO,FRA,02:59:45.000,1,1900
Emile CHAMPION,FRA,03:04:17.000,2,1900
Ernst FAST,SWE,03:37:14.000,3,1900
Eugene BESSE,FRA,04:00:43.000,4,1900
Arthur NEWTON,USA,04:04:12.000,5,1900
Tom HICKS,USA,03:28:53.000,1,1904
Albert COREY,USA,03:34:52.000,2,1904
Arthur NEWTON,USA,03:47:33.000,3,1904
John Joseph HAYES,USA,02:55:18.400,1,1908
Charles A. HEFFERON,RSA,02:56:06.000,2,1908
Joe FORSHAW,USA,02:57:10.400,3,1908
Alton Roy WELTON,USA,02:59:44.400,4,1908
William WOOD,CAN,03:01:44.000,5,1908
Fred SIMPSON,CAN,03:04:28.200,6,1908
Harry LAWSON,CAN,03:06:47.200,7,1908
Johan Fritiof SVANBERG,SWE,03:07:50.800,8,1908
Lewis TEWANIMA,USA,03:09:15.000,9,1908
Kalle NIEMINEN,FIN,03:09:50.800,10,1908
Jack CAFFERY,CAN,03:12:46.000,11,1908
Billy CLARKE,GBR,03:16:08.600,12,1908
Ernie BARNES,GBR,03:17:30.800,13,1908
Sidney HATCH,USA,03:17:52.400,14,1908
Frederick Thomas LORD,GBR,03:19:08.800,15,1908
William GOLDSBORO,CAN,03:20:07.000,16,1908
James George BEALE,GBR,03:20:14.000,17,1908
Arnost NEJEDLY,CZE,03:26:26.200,18,1908
Georg LIND,RUS,03:26:38.800,19,1908
Willem W. WAKKER,NED,03:28:49.000,20,1908
Gustaf TÖRNROS,SWE,03:30:20.800,21,1908
George GOULDING,CAN,03:33:26.400,22,1908
Julius Ferdinand JORGENSEN,DEN,03:47:44.000,23,1908
Arthur BURN,CAN,03:50:17.000,24,1908
Emmerich RATH,AUT,03:50:30.400,25,1908
Rudy HANSEN,DEN,03:53:15.000,26,1908
George LISTER,CAN,04:22:45.000,27,1908
Ken MCARTHUR,RSA,02:36:54.800,1,1912
Chris GITSHAM,RSA,02:37:52.000,2,1912
Gaston STROBINO,USA,02:38:42.400,3,1912
Andrew SOCKALEXIS,USA,02:42:07.900,4,1912
James DUFFY,CAN,02:42:18.800,5,1912
Sigfrid JACOBSSON,SWE,02:43:24.900,6,1912
John James GALLAGHER,USA,02:44:19.400,7,1912
Joseph ERXLEBEN,USA,02:45:47.200,8,1912
Richard Francis PIGGOTT,USA,02:46:40.700,9,1912
Joe FORSHAW,USA,02:49:49.400,10,1912
Ed FABRE,CAN,02:50:36.200,11,1912
Clarence Harrison DE MAR,USA,02:50:46.600,12,1912
Renon BOISSIÈRE,FRA,02:51:06.600,13,1912
Henry Harold GREEN,GBR,02:52:11.400,14,1912
William Charles FORSYTH,CAN,02:52:23.000,15,1912
Lewis TEWANIMA,USA,02:52:41.400,16,1912
Harry J. SMITH,USA,02:52:53.800,17,1912
Thomas H. LILLEY,USA,02:59:35.400,18,1912
Arthur TOWNSEND,GBR,03:00:05.000,19,1912
Felix KWIETON,AUT,03:00:48.000,20,1912
Frederick Thomas LORD,GBR,03:01:39.200,21,1912
Jacob WESTBERG,SWE,03:02:05.200,22,1912
Axel G. SIMONSEN,NOR,03:04:59.400,23,1912
Carl Nicanor ANDERSSON,SWE,03:06:13.000,24,1912
Edgar William LLOYD,GBR,03:09:25.000,25,1912
Herkules P. SAKELLAROPOULOS,GRE,03:11:37.000,26,1912
Hjalmar DAHLBERG,SWE,03:13:32.200,27,1912
Ivar LUNDBERG,SWE,03:16:35.200,28,1912
Johannes Laurs CHRISTENSEN,DEN,03:21:57.400,29,1912
Olaf LODAL,DEN,03:21:57.600,30,1912
Ödön KARPATI,HUN,03:25:21.600,31,1912
Carl NILSSON,SWE,03:26:56.400,32,1912
Emmerich RATH,AUT,03:27:03.800,33,1912
Otto OSEN,NOR,03:36:35.200,34,1912
Hannes KOLEHMAINEN,FIN,02:32:35.800,1,1920
Jüri LOSSMAN,EST,02:32:48.600,2,1920
Valerio ARRI,ITA,02:36:37.800,3,1920
Auguste BROOS,BEL,02:39:25.800,4,1920
Juho TUOMIKOSKI,FIN,02:40:18.800,5,1920
Anders Sofus ROSE,DEN,02:41:18.000,6,1920
Joseph ORGAN,USA,02:41:30.000,7,1920
Rudolf Carl HANSEN,DEN,02:41:39.400,8,1920
Urho TALLGREN,FIN,02:42:40.000,9,1920
Taavetti Heikki KOLEHMAINEN,FIN,02:44:03.200,10,1920
Carl LINDER,USA,02:44:21.600,11,1920
Chuck MELLOR,USA,02:45:30.000,12,1920
James DELLOW,CAN,02:46:47.000,13,1920
Bobby MILLS,GBR,02:48:05.000,14,1920
Art SCHOLES,CAN,02:48:30.000,15,1920
Shizo KANAGURI,JPN,02:48:45.400,16,1920
Gustav KINN,SWE,02:49:10.400,17,1920
Albert MOCHÉ,FRA,02:50:00.200,18,1920
Phadeppa CHAUGULE,IND,02:50:45.400,19,1920
Zensaku MOTEGI,JPN,02:51:09.400,20,1920
Kenzo YASHIMA,JPN,02:57:03.000,21,1920
Norman GENERAL,CAN,02:58:01.000,22,1920
Rudolf WÅHLIN,SWE,02:59:23.000,23,1920
Yahei MIURA,JPN,02:59:37.000,24,1920
Henri TEYSSEDOU,FRA,03:00:04.000,25,1920
Hendricus WESSEL,NED,03:00:17.000,26,1920
Charles MELIS,BEL,03:00:51.000,27,1920
William GRÜNER,SWE,03:01:48.000,28,1920
George PIPER,GBR,03:02:10.000,29,1920
Sinton HEWITT,AUS,03:03:27.000,30,1920
Leslie HOUSDEN,GBR,03:14:07.000,31,1920
Herkules P. SAKELLAROPOULOS,GRE,03:14:25.000,32,1920
Juan BASCUNAN,CHI,03:17:45.000,33,1920
Oscar BLANSAER,BEL,03:20:00.000,34,1920
Eric ROBERTSON,GBR,03:55:00.000,35,1920
Albin Oskar STENROOS,FIN,02:41:22.600,1,1924
Romeo BERTINI,ITA,02:47:19.600,2,1924
Clarence Harrison DE MAR,USA,02:48:14.000,3,1924
Lauri A. HALONEN,FIN,02:49:47.400,4,1924
Samuel FERRIS,GBR,02:52:26.000,5,1924
Manuel PLAZA REYES,CHI,02:52:54.000,6,1924
El Ouafi BOUGUEIRA,FRA,02:54:19.600,7,1924
Gustav KINN,SWE,02:54:33.400,8,1924
Dionisio CARRERAS,ESP,02:57:18.400,9,1924
Jüri LOSSMAN,EST,02:57:54.600,10,1924
Axel JENSEN,DEN,02:58:44.800,11,1924
Jean Baptiste MANHES,FRA,03:00:34.000,12,1924
Jack CUTHBERT,CAN,03:00:44.600,13,1924
Victor MACAULEY,CAN,03:02:05.400,14,1924
Marcel ALAVOINE,BEL,03:03:20.000,15,1924
Frank E. WENDLING,USA,03:05:09.800,16,1924
Arthur FARRIMOND,GBR,03:05:15.000,17,1924
Frank I. ZUNA,USA,03:05:52.200,18,1924
Harry PHILLIPS,RSA,03:07:13.000,19,1924
Auguste BROOS,BEL,03:14:03.000,20,1924
Waldemar KARLSSON,SWE,03:14:21.400,21,1924
Tullio BISCUOLA,ITA,03:19:05.000,22,1924
Billy CHURCHILL,USA,03:19:18.000,23,1924
Mohammed GHERMATI,FRA,03:20:27.000,24,1924
Chuck MELLOR,USA,03:24:07.000,25,1924
Pierre-georges LECLERCQ,BEL,03:27:54.000,26,1924
Jack MCKENNA,GBR,03:30:40.000,27,1924
Antal LOVAS,HUN,03:35:34.000,28,1924
Mahadeo SINGH,IND,03:37:36.000,29,1924
Elmar REIMANN,EST,03:40:52.000,30,1924
El Ouafi BOUGUEIRA,FRA,02:32:57.000,1,1928
Manuel PLAZA REYES,CHI,02:33:23.000,2,1928
Martti B. MARTTELIN,FIN,02:35:02.000,3,1928
Kanematsu YAMADA,JPN,02:35:29.000,4,1928
Joseph RAY,USA,02:36:04.000,5,1928
Seiichiro TSUDA,JPN,02:36:20.000,6,1928
Yrjo KORHOLIN-KOSKI,FIN,02:36:40.000,7,1928
Samuel FERRIS,GBR,02:37:41.000,8,1928
Whitey MICHELSEN,USA,02:38:56.000,9,1928
Cliff BRICKER,CAN,02:39:24.000,10,1928
Harry WOOD,GBR,02:41:15.000,11,1928
Verner Johan LAAKSONEN,FIN,02:41:35.000,12,1928
Harry William PAYNE,GBR,02:42:29.000,13,1928
Eino RASTAS,FIN,02:43:08.000,14,1928
Väinö Jeremias SIPILÄ,FIN,02:43:08.000,15,1928
Alois KROF,TCH,02:43:18.000,16,1928
John C. MILES,CAN,02:43:32.000,17,1928
Léon P. BROERS,BEL,02:44:37.000,18,1928
Hans Ludwig STELGES,GER,02:45:27.000,19,1928
Duncan Macleod WRIGHT,GBR,02:45:30.000,20,1928
Herb BIGNALL,GBR,02:45:44.000,21,1928
Ernest HARPER,GBR,02:45:44.000,22,1928
Jean GÉRAULT,FRA,02:46:08.000,23,1928
Ilmari KUOKKA,FIN,02:46:34.000,24,1928
Gustav KINN,SWE,02:47:35.000,25,1928
Silas MCLELLAN,CAN,02:49:33.000,26,1928
Clarence Harrison DE MAR,USA,02:50:42.000,27,1928
Marcel DENIS,FRA,02:51:15.000,28,1928
Guillaume TELL,FRA,02:51:18.000,29,1928
Henri H. LANDHEER,NED,02:51:59.000,30,1928
Paul HEMPEL,GER,02:52:01.000,31,1928
Aurelio TERRAZAS,MEX,02:52:22.000,32,1928
Frantisek ZYKA,TCH,02:52:42.000,33,1928
Giuseppe FERRERA,ITA,02:53:10.000,34,1928
José TORRES,MEX,02:54:00.000,35,1928
Johan STÖA,NOR,02:54:15.000,36,1928
Gérardus STEURS,BEL,02:54:48.000,37,1928
Arturs MOTTMILLERS,LAT,02:56:45.000,38,1928
James P. HENIGAN,USA,02:56:50.000,39,1928
Matthew STEYTLER,RSA,02:57:21.000,40,1928
Harvey FRICK,USA,02:57:24.000,41,1928
Jean LINSSEN,BEL,02:58:08.000,42,1928
Frank HUGHES,CAN,02:58:12.000,43,1928
William AGEE,USA,02:58:50.000,44,1928
Percival WYER,CAN,02:58:52.000,45,1928
Georg HÖRGER,GER,02:59:01.000,46,1928
Kurt SCHNEIDER,GER,02:59:36.000,47,1928
Juichi NAGATANI,JPN,03:03:34.000,48,1928
Jozsef GALAMBOS,HUN,03:05:58.000,49,1928
Paul GERHARDT,GER,03:09:30.000,50,1928
Gottlieb BACH,DEN,03:10:30.000,51,1928
Emilio FERRER,ESP,03:11:05.000,52,1928
Dimitrije STEFANOVIC,YUG,03:11:35.000,53,1928
Joop VERMEULEN,NED,03:13:47.000,54,1928
Pleun VAN LEENEN,NED,03:14:37.000,55,1928
Joseph Charles MARIEN,BEL,03:16:13.000,56,1928
Willem VAN DER STEEN,NED,03:19:53.000,57,1928
Juan Carlos ZABALA,ARG,02:31:36.000,1,1932
Samuel FERRIS,GBR,02:31:55.000,2,1932
Armas Adam TOIVONEN,FIN,02:32:12.000,3,1932
Duncan Macleod WRIGHT,GBR,02:32:41.000,4,1932
Seiichiro TSUDA,JPN,02:35:42.000,5,1932
KIN Onbai,JPN,02:37:28.000,6,1932
Whitey MICHELSEN,USA,02:39:38.000,7,1932
Oskar HEKS,TCH,02:41:35.000,8,1932
GON Taika,JPN,02:42:52.000,9,1932
Anders Hartington ANDERSEN,DEN,02:44:38.000,10,1932
Hans OLDAG,USA,02:47:26.000,11,1932
Cliff BRICKER,CAN,02:47:58.000,12,1932
Michele FANELLI,ITA,02:49:09.000,13,1932
John C. MILES,CAN,02:50:32.000,14,1932
Paul DE BRUYN,GER,02:52:39.000,15,1932
François BEGEOT,FRA,02:53:34.000,16,1932
Fernando CHACARELLI,ARG,02:55:49.000,17,1932
Eddie CUDWORTH,CAN,02:58:35.000,18,1932
João Clemente DA SILVA,BRA,03:02:06.000,19,1932
Margarito POMPOSO BANOS,MEX,03:10:51.000,20,1932
Kitei SON,JPN,02:29:19.200,1,1936
Ernest HARPER,GBR,02:31:23.200,2,1936
NAN Shoryu,JPN,02:31:42.000,3,1936
Erkki Jaakko TAMILA,FIN,02:32:45.000,4,1936
Väinö MUINONEN,FIN,02:33:46.000,5,1936
Johannes Lodewyk COLEMAN,RSA,02:36:17.000,6,1936
Donald Mcnab ROBERTSON,GBR,02:37:06.200,7,1936
Henry Alfred GIBSON,RSA,02:38:04.000,8,1936
